Model,Fold,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,1,0.7395,0.6087,0.3889,0.4746,0.7456
Logistic Regression,2,0.75,0.5854,0.6486,0.6154,0.8645
Logistic Regression,3,0.675,0.4667,0.5833,0.5185,0.7444
Logistic Regression,4,0.7647,0.7222,0.3611,0.4815,0.8762
Logistic Regression,5,0.8843,0.7674,0.8919,0.825,0.9373
SVM (RBF Kernel),1,0.7143,0.5357,0.4167,0.4688,0.8129
SVM (RBF Kernel),2,0.7833,0.6667,0.5946,0.6286,0.8735
SVM (RBF Kernel),3,0.825,0.6744,0.8056,0.7342,0.8684
SVM (RBF Kernel),4,0.7143,0.6,0.1667,0.2609,0.6546
SVM (RBF Kernel),5,0.9008,0.7907,0.9189,0.85,0.9681
Random Forest,1,0.7479,0.6071,0.4722,0.5312,0.8129
Random Forest,2,0.825,0.7222,0.7027,0.7123,0.9098
Random Forest,3,0.6667,0.46,0.6389,0.5349,0.749
Random Forest,4,0.6723,0.4118,0.1944,0.2642,0.657
Random Forest,5,0.8926,0.7727,0.9189,0.8395,0.9587
